CNPJ/CPF Remetente;Remetente;CNPJ/CPF Destinatario;Destinatario;CTRC;Nota Fiscal/Nro Coleta;Nro Pedido;Data Inclusao;Cidade Destino;UF Destino;Unidade;Data/Hora da Ocorrencia;Situacao;Empresa;Detalhe;Data Entrega;Previsao de Entrega;CTe
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;00.132.229/0001-80;ONCOMED CENTRO PREV E TRAT DE DOENCAS;7141737473;1 110671;;08/09/22;BELO HORIZONTE;MG;BELO HORIZONTE / MG;12/09/22 23:22;MERCADORIA ENTREGUE;AGB;MERCADORIA ENTREGUE EM 12/09/22 23:22H E FOI RECEBIDO POR TULIO  DOC N.: CARIMBO.;12/09/22;13/09/22;32220908860184000171570020001731261005211843 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;00.461.479/0045-84;PREVENT SENIOR PRIVATE OPERADORA DE SAUDE LTDA;7141695878;1 110391;;01/09/22;SAO PAULO;SP;CARIACICA / ES;14/09/22 11:12;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001690571005081952</u></a> - VIA API.;05/09/22;06/09/22;32220908860184000171570020001690571005081952 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;00.461.479/0045-84;PREVENT SENIOR PRIVATE OPERADORA DE SAUDE LTDA;7141695878;1 110390;;01/09/22;SAO PAULO;SP;CARIACICA / ES;14/09/22 11:12;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001690571005081952</u></a> - VIA API.;05/09/22;06/09/22;32220908860184000171570020001690571005081952 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;00.461.479/0045-84;PREVENT SENIOR PRIVATE OPERADORA DE SAUDE LTDA;7141695878;1 110404;;01/09/22;SAO PAULO;SP;CARIACICA / ES;14/09/22 11:12;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001690571005081952</u></a> - VIA API.;05/09/22;06/09/22;32220908860184000171570020001690571005081952 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;10.475.230/0001-60;HEMOMED INSTITUTO DE ONCOLOGIA E HEMATOLOGIA;7141716506;1 110516;;05/09/22;SAO PAULO;SP;CARIACICA / ES;14/09/22 11:05;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001710351005145128</u></a> - VIA API.;06/09/22;09/09/22;32220908860184000171570020001710351005145128 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;10.475.230/0001-60;HEMOMED INSTITUTO DE ONCOLOGIA E HEMATOLOGIA;7141716506;1 110517;;05/09/22;SAO PAULO;SP;CARIACICA / ES;14/09/22 11:05;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001710351005145128</u></a> - VIA API.;06/09/22;09/09/22;32220908860184000171570020001710351005145128 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;08.621.389/0001-02;MEDFAR CENTRO DE MANIPULACAO DE FARMACOS LTDA;7141716522;1 110513;;05/09/22;SAO PAULO;SP;CARIACICA / ES;14/09/22 11:05;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001710361005145273</u></a> - VIA API.;06/09/22;09/09/22;32220908860184000171570020001710361005145273 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;08.621.389/0001-02;MEDFAR CENTRO DE MANIPULACAO DE FARMACOS LTDA;7141716522;1 110515;;05/09/22;SAO PAULO;SP;CARIACICA / ES;14/09/22 11:05;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001710361005145273</u></a> - VIA API.;06/09/22;09/09/22;32220908860184000171570020001710361005145273 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;08.621.389/0001-02;MEDFAR CENTRO DE MANIPULACAO DE FARMACOS LTDA;7141716522;1 110514;;05/09/22;SAO PAULO;SP;CARIACICA / ES;14/09/22 11:05;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001710361005145273</u></a> - VIA API.;06/09/22;09/09/22;32220908860184000171570020001710361005145273 
10.586.940/0001-68;Oncovit Distribuidora De Medicamentos Ltda;03.988.640/0001-40;ONCOTERAPIA S/S EIRELI;7141716514;1 110512;;05/09/22;SAO PAULO;SP;CARIACICA / ES;14/09/22 11:04;DIGITALIZACAO DE DOCUMENTO DE ENTREGA;AGB;Digitalizacao de documento de entrega (Decreto 10.278/2020): <a class=sra target=_blank onclick=window.open(this.textContent) href=#><u>https://api.infordoc.com/aguiabranca?vcomp=32220908860184000171570020001710341005145180</u></a> - VIA API.;06/09/22;09/09/22;32220908860184000171570020001710341005145180 
